,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Cutting Finger Roll Layup Shot,Made Shot,6,0021500003,Shot Chart Detail,12,31,10,1,201939,Stephen Curry,56,1,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
1,Jump Shot,Missed Shot,9,0021500003,Shot Chart Detail,-176,195,10,1,201939,Stephen Curry,29,1,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
2,Layup Shot,Missed Shot,14,0021500003,Shot Chart Detail,20,9,9,1,201939,Stephen Curry,34,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
3,Jump Shot,Made Shot,19,0021500003,Shot Chart Detail,-197,193,9,1,201939,Stephen Curry,13,1,27,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
4,Running Layup Shot,Made Shot,36,0021500003,Shot Chart Detail,-4,8,7,1,201939,Stephen Curry,11,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
5,Jump Shot,Made Shot,38,0021500003,Shot Chart Detail,-11,259,6,1,201939,Stephen Curry,45,1,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
6,Jump Shot,Made Shot,46,0021500003,Shot Chart Detail,-117,188,5,1,201939,Stephen Curry,50,1,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors
7,Jump Shot,Made Shot,55,0021500003,Shot Chart Detail,-179,228,5,1,201939,Stephen Curry,3,1,28,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
8,Step Back Jump shot,Made Shot,68,0021500003,Shot Chart Detail,89,239,3,1,201939,Stephen Curry,57,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
9,Jump Shot,Missed Shot,82,0021500003,Shot Chart Detail,-156,232,3,1,201939,Stephen Curry,6,1,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
10,Driving Finger Roll Layup Shot,Made Shot,88,0021500003,Shot Chart Detail,-19,21,2,1,201939,Stephen Curry,45,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
11,Driving Layup Shot,Made Shot,116,0021500003,Shot Chart Detail,12,18,0,1,201939,Stephen Curry,45,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
12,Jump Shot,Missed Shot,127,0021500003,Shot Chart Detail,-186,345,0,1,201939,Stephen Curry,1,1,39,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
13,Jump Shot,Missed Shot,208,0021500003,Shot Chart Detail,164,185,6,2,201939,Stephen Curry,3,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
14,Fadeaway Bank shot,Made Shot,221,0021500003,Shot Chart Detail,-96,85,4,2,201939,Stephen Curry,54,1,12,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612744,Golden State Warriors
15,Jump Shot,Missed Shot,253,0021500003,Shot Chart Detail,166,174,2,2,201939,Stephen Curry,11,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
16,Pullup Jump shot,Missed Shot,261,0021500003,Shot Chart Detail,204,151,1,2,201939,Stephen Curry,16,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
17,Driving Finger Roll Layup Shot,Made Shot,277,0021500003,Shot Chart Detail,-9,8,0,2,201939,Stephen Curry,0,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
18,Driving Finger Roll Layup Shot,Made Shot,302,0021500003,Shot Chart Detail,10,11,10,3,201939,Stephen Curry,7,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
19,Cutting Finger Roll Layup Shot,Made Shot,333,0021500003,Shot Chart Detail,-7,13,7,3,201939,Stephen Curry,35,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
20,Jump Shot,Missed Shot,339,0021500003,Shot Chart Detail,42,61,7,3,201939,Stephen Curry,14,1,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612744,Golden State Warriors
21,Jump Shot,Missed Shot,364,0021500003,Shot Chart Detail,161,203,5,3,201939,Stephen Curry,19,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
22,Jump Shot,Missed Shot,366,0021500003,Shot Chart Detail,20,23,5,3,201939,Stephen Curry,13,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
23,Jump Shot,Made Shot,395,0021500003,Shot Chart Detail,184,170,3,3,201939,Stephen Curry,23,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
24,Floating Jump shot,Missed Shot,524,0021500003,Shot Chart Detail,-122,43,5,4,201939,Stephen Curry,21,1,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612744,Golden State Warriors
25,Driving Layup Shot,Missed Shot,550,0021500003,Shot Chart Detail,6,7,2,4,201939,Stephen Curry,30,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors
26,Step Back Jump shot,Missed Shot,11,0021500030,Shot Chart Detail,-109,154,11,1,201939,Stephen Curry,0,1,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors
27,Pullup Jump shot,Made Shot,35,0021500030,Shot Chart Detail,209,124,9,1,201939,Stephen Curry,22,1,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
28,Jump Shot,Made Shot,39,0021500030,Shot Chart Detail,228,87,8,1,201939,Stephen Curry,56,1,24,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612744,Golden State Warriors
29,Pullup Jump shot,Made Shot,44,0021500030,Shot Chart Detail,-52,288,7,1,201939,Stephen Curry,52,1,29,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
30,Jump Shot,Missed Shot,62,0021500030,Shot Chart Detail,-129,214,6,1,201939,Stephen Curry,23,1,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
31,Jump Shot,Missed Shot,119,0021500030,Shot Chart Detail,222,106,3,1,201939,Stephen Curry,5,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
32,Jump Shot,Missed Shot,220,0021500030,Shot Chart Detail,-235,-16,6,2,201939,Stephen Curry,50,1,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612744,Golden State Warriors
33,Jump Shot,Made Shot,251,0021500030,Shot Chart Detail,-240,100,4,2,201939,Stephen Curry,5,1,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors
